strategy,final_size,mini_calls_mean,nano_wrong_mean,usable_balanced_mean,critical_recall_mean,bw_recall_mean,initial_auc_mean,mini_dollar_saving_mean,total_cost_saving_mean
disagreement_probe120,100,120.0,27.18,54.36,0.6336842105263157,0.4883870967741935,,0.4033921667023149,0.31778582827701857
disagreement_probe150,100,150.0,30.28,60.56,0.763157894736842,0.5090322580645161,,0.25375791803089887,0.1999063859433099
disagreement_probe200,100,200.0,36.86,73.72,1.0,0.5761290322580644,,0.0,0.0
gold_oracle,100,100.0,50.0,100.0,1.0,1.0,,0.4776809424307738,0.37630932495159714
random,100,100.0,24.7,49.4,0.5305263157894737,0.47161290322580646,,0.5025060053636947,0.3958661082442909
seed20_nano_critical_iterative_explore20,100,100.0,26.3,52.6,0.4842105263157894,0.5516129032258065,0.47959375676149796,0.4902659224403165,0.3862235687726319
seed20_nano_error_iterative,100,100.0,26.66,53.32,0.5242105263157895,0.5387096774193548,0.5027048699432886,0.4788026703302128,0.3771930040585534
seed20_nano_error_iterative_explore20,100,100.0,26.94,53.88,0.5347368421052632,0.5412903225806452,0.5027048699432886,0.4803108392701427,0.3783811151705646
seed20_nano_error_one_shot,100,100.0,25.84,51.68,0.4757894736842105,0.5419354838709678,0.5027048699432886,0.48749197913753106,0.38403830107823045
seed20_question_error_one_shot,100,100.0,25.86,51.72,0.48526315789473684,0.5367741935483871,0.5014474980016358,0.49014651442109947,0.386129501065269
