strategy,final_size,nano_wrong_mean,usable_balanced_mean,critical_recall_mean,bw_recall_mean,initial_auc_mean,mini_dollar_saving_mean,total_cost_saving_mean
gold_oracle,80,40.0,80.0,0.8094736842105263,0.7941935483870968,,0.5827158228993568,0.45905410594363394
gold_oracle,100,50.0,100.0,1.0,1.0,,0.4776809424307738,0.37630932495159714
random,80,19.34,38.68,0.41157894736842104,0.3716129032258065,,0.6003217394165749,0.4729237623842584
random,100,24.7,49.4,0.5305263157894737,0.47161290322580646,,0.5025060053636947,0.3958661082442909
seed20_nano_iterative,80,21.46,42.92,0.4168421052631579,0.4367741935483871,0.5270234684071421,0.5786127609865249,0.45582178009283636
seed20_nano_iterative,100,26.4,52.8,0.5178947368421053,0.5341935483870968,0.5270234684071421,0.4778138830846181,0.37641405344977036
seed20_nano_iterative_explore20,80,21.4,42.8,0.41157894736842104,0.43806451612903224,0.5270234684071421,0.5801861662745356,0.45706128334534973
seed20_nano_iterative_explore20,100,26.3,52.6,0.5136842105263157,0.5335483870967742,0.5270234684071421,0.4792296270093289,0.37752935362880036
seed20_nano_one_shot,80,20.9,41.8,0.36736842105263157,0.44903225806451613,0.5270234684071421,0.583568913605028,0.45972615701173825
seed20_nano_one_shot,100,25.54,51.08,0.4684210526315789,0.5367741935483871,0.5270234684071421,0.48655065894470134,0.3832967442463323
seed20_question_one_shot,80,20.42,40.84,0.35684210526315785,0.44,0.5251712902836888,0.5906610013326972,0.4653131890832206
seed20_question_one_shot,100,25.64,51.28,0.4589473684210526,0.5458064516129032,0.5251712902836888,0.4919243488704981,0.38753005030661924
