id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
ant_man_and_the_wasp_quantumania,102780668,2023-02-17,Nicola Austin,False,3/5,fresh,We Have a Hulk,Excellent performances from Majors&#44; Pfeiffer and Rudd aside&#44; this third instalment certainly feels destined to be in service of the larger cogs of the MCU rather than a worthy story in its own right&#46;,POSITIVE,https://wehaveahulk.co.uk/ant-man-and-the-wasp-quantumania-review/
ant_man_and_the_wasp_quantumania,102780028,2023-02-15,Olly Richards,True,2/5,rotten,Time Out,"Marvel’s mini-hero is back in a movie that’s all scale, no fun.  ",NEGATIVE,https://www.timeout.com/movies/ant-man-and-the-wasp-quantumania-2023
ant_man_and_the_wasp_quantumania,102779557,2023-02-14,Matt Donato,False,3/5,fresh,What To Watch,While brimming with imagination thanks to environmental Quantum designs&#44; Quantumania doesn&apos;t escape feeling like a layover between major franchise destinations&#46;,POSITIVE,https://www.whattowatch.com/reviews/ant-man-and-the-wasp-quantumania-review-a-rocky-start-to-marvels-phase-5
ant_man_and_the_wasp_quantumania,102780956,2023-02-17,Scott Davis,False,2/5,rotten,HeyUGuys,The latest phase of the MCU begins in the microscopic world of the Quantum Realm - but is Marvel in danger of burnout just as Kang arrives&#63;,NEGATIVE,https://www.heyuguys.com/ant-man-and-the-wasp-quantumania-review/
ant_man_and_the_wasp_quantumania,102779486,2023-02-14,Ian Sandwell,False,3/5,fresh,Digital Spy,Ant-Man and The Wasp&#58; Quantumania ends up as a movie with great elements&#44; rather than completely satisfying whole&#46;,POSITIVE,https://www.digitalspy.com/movies/a42854659/ant-man-wasp-quantumania-review/
ant_man_and_the_wasp_quantumania,102789361,2023-03-17,Stacey Yvonne,False,3/5,fresh,Stacey Yvonne Creative,I love Marvel and understand the implications the film is supposed to have as it ushers in Phase 5&#46; What I&#8217;m at a loss to understand is just why this task was laid at the feet of Ant-Man&#46; ,POSITIVE,https://syvonnecreative.com/2023/03/06/ant-man-and-the-wasp-quantumania-fails-to-jumpstart-phase-5/
ant_man_and_the_wasp_quantumania,102780692,2023-02-17,Josh Wilding,False,3.5/5,fresh,ComicBookMovie.com,Despite being an example of why a movie shouldn&#8217;t be shot almost entirely in The Volume&#44; every time Jonathan Majors steps on screen as Kang&#44; Ant-Man and The Wasp&#58; Quantumania is an epic tale to astonish and a monumental chapter in the Multiverse Saga&#46; ,POSITIVE,https://comicbookmovie.com/ant_man/ant_man-and-the-wasp-quantumania/ant-man-and-the-wasp-quantumania-review-jonathan-majors-makes-phase-5-opener-an-epic-tale-to-astonish-a200540
ant_man_and_the_wasp_quantumania,102782779,2023-02-24,Rich Cline,False,3/5,fresh,Shadows on the Wall,"All of this makes the plot feel both murky and corny, while the action is less than convincing. Still, the cast is on fine form, finding moments of emotion alongside the snarky relationship humour.",POSITIVE,http://www.shadowsonthewall.co.uk/23/antmquan.htm
ant_man_and_the_wasp_quantumania,102781005,2023-02-17,Valerie Kalfrin,False,3.5/5,fresh,AWFJ.org,ANT-MAN AND THE WASP&#58; QUANTUMANIA leaves some unanswered questions&#44; and its action scenes rely more on fisticuffs than clever size-shifting props and fight choreography&#46; It&#8217;s still a fun outing with likable characters&#44; just not a fantastic voyage&#46;,POSITIVE,https://awfj.org/blog/2023/02/13/ant-man-and-the-wasp-quantumania-review-by-valerie-kalfrin/
ant_man_and_the_wasp_quantumania,102779557,2023-02-14,Matt Donato,False,3/5,fresh,What To Watch,While brimming with imagination thanks to environmental Quantum designs&#44; Quantumania doesn&apos;t escape feeling like a layover between major franchise destinations&#46;,POSITIVE,https://www.whattowatch.com/reviews/ant-man-and-the-wasp-quantumania-review-a-rocky-start-to-marvels-phase-5
ant_man_and_the_wasp_quantumania,102782734,2023-02-24,M.N. Miller,False,3/5,fresh,Ready Steady Cut,Ant-Man and The Wasp&#58; Quantumania is pure&#44; indulgent escapism that never forgets comic book movies are supposed to be fun&#46;,POSITIVE,https://readysteadycut.com/2023/02/24/ant-man-and-the-wasp-quantumania-review/
ant_man_and_the_wasp_quantumania,102779553,2023-02-14,Danielle Solzman,False,5/5,fresh,Solzy at the Movies,Ant-Man and the Wasp&#58; Quantumania is an epic sci-fi adventure that explores the family dynamics against the backdrop of a sci-fi war movie&#46;,POSITIVE,https://www.solzyatthemovies.com/2023/02/14/ant-man-and-the-wasp-quantumania-is-an-epic-adventure/
ant_man_and_the_wasp_quantumania,102781076,2023-02-18,Ruth Maramis,False,2.5/5,rotten,FlixChatter Film Blog,Despite strong performances from the cast&#44; &apos;Quantumania&apos; is dull and exhausting to sit through&#46; Marvel&#8217;s glory days might be behind us and I&#8217;m really not looking forward to the rest of Phase Five&#46;,NEGATIVE,https://flixchatter.net/2023/02/17/ant-man-and-the-wasp-quantumania-2022-review/
