id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
taken_3,2241881,2015-01-11,Nick Rogers,False,2.5/5,rotten,Midwest Film Journal,&quot;Taken 2&quot; refashioned Bryan Mills in the image of Brosnan instead of Bronson&#46; &quot;Taken 3&quot; works in a similarly bland&#44; proficient groove&#46; &quot;It ends here&#44;&quot; says the poster&#46; Let&apos;s hope so&#46; We&#44; and Neeson&#44; have better things to do&#46;,NEGATIVE,https://midwestfilmjournal.com/2015/01/09/tak3n/
taken_3,2241666,2015-01-09,Bruce Kirkland,True,1.5/5,rotten,Toronto Sun,The premise is pretty much the same: Mess with Neeson's loved ones and you will die.,NEGATIVE,http://www.torontosun.com/2015/01/09/taken-3-review-threequel-a-complete-disaster
taken_3,2241581,2015-01-09,Chris Bumbray,False,3/10,rotten,JoBlo's Movie Network,So low-rent that it feels like everyone involved - from the writers to the director to the star - just decided to put as little effort into the follow-up as possible.,NEGATIVE,http://www.joblo.com/movie-news/review-taken-3-291-02
taken_3,2241618,2015-01-09,Frank Lovece,False,,rotten,Film Journal International,"The original Taken was a much better movie than anyone thought it would be. Taken 3, on the other hand, is the movie everyone did think Taken was going to be.",NEGATIVE,http://www.filmjournal.com/filmjournal/content_display/reviews/major-releases/e3i9df1b9bd898b4c5e182ae30152d06216
taken_3,2531074,2018-11-10,Frank Ochieng,False,2/4,rotten,Filmcritic.com,Let's face facts...we all were Taken in by this pseudo punchy action yarn that no longer generates the destructive heat it once punctuated with carefree confidence.,NEGATIVE,https://www.sfcrowsnest.info/taken-3-film-review-by-frank-ochieng/
taken_3,2241675,2015-01-09,William Bibbiani,False,2/10,rotten,CraveOnline,Taken 3 makes Taken 2 look like Taken.,NEGATIVE,http://www.craveonline.com/film/reviews/808563-taken-3-review-look-whos-taken-now
taken_3,2434911,2017-11-11,Reagan Gavin Rasquinha,False,4/5,fresh,The Times of India,What works greatly to the movie's credit is the pacing (never a dull moment here!) and that sense of 'What's going to happen next?',POSITIVE,http://timesofindia.indiatimes.com/entertainment/movie-reviews
taken_3,2241762,2015-01-09,Elise Nakhnikian,True,.5/4,rotten,Slant Magazine,Empowerment porn for those who long for the Cold War's clarity of purpose and American dominance in this murky age of terror.,NEGATIVE,http://www.slantmagazine.com/film/review/taken-3
taken_3,2587665,2019-05-17,Cameron Ward,False,2/5,rotten,One Room With A View,Taken 3's inability to commit to and fully explore the significance of its leading issues leaves much of the emotional payoff uncharted and muddled in the wake of unwarranted complications.,NEGATIVE,https://oneroomwithaview.com/2015/01/08/taken-3-review/
taken_3,2310947,2016-02-25,John Fink,False,C,rotten,The Film Stage,Taken 3 isn't a bad time; it's often laughable without veering totally into self-parody.,NEGATIVE,http://thefilmstage.com/reviews/review-taken-3/
taken_3,2241665,2015-01-09,Ignatiy Vishnevetsky,True,C-,rotten,AV Club,"Because Mills' hyper-competence never seems exciting, it instead becomes giggle-inducing.",NEGATIVE,http://www.avclub.com/review/trilogy-capping-taken-3-action-movie-slop-213637
taken_3,2242764,2015-01-16,Wesley Morris,True,,rotten,Grantland,"A movie that thinks the way to earn our knuckle-biting is to be as dull as hell for 35 minutes, then send a giant shipping container hurtling along the interstate. But you yawn through that, too.",NEGATIVE,http://grantland.com/hollywood-prospectus/blackhat-taken-3-the-wedding-ringer-review/
taken_3,2411103,2017-08-17,Brooke Corso,False,D,rotten,"The Monitor (McAllen, TX)",Limping toward the film's climax with a bizarre underwear fight might have sealed it.,NEGATIVE,http://www.themonitor.com/entertainment/article_48eae648-9cf7-11e4-8661-535e0b53ed19.html
